center,left,right,steering,speed,throttle,brake
F:\Study Material\IMG\center_2018_05_22_00_57_52_909.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_52_909.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_52_909.jpg,0.0,0.0,0.0,3.4286879999999997
F:\Study Material\IMG\center_2018_05_22_00_57_53_009.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_009.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_009.jpg,0.0,0.0,0.0,3.3352169999999997
F:\Study Material\IMG\center_2018_05_22_00_57_53_117.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_117.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_117.jpg,0.0,0.0,0.0,3.238685
F:\Study Material\IMG\center_2018_05_22_00_57_53_225.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_225.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_225.jpg,0.0,0.0,0.0,3.1241950000000003
F:\Study Material\IMG\center_2018_05_22_00_57_53_326.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_326.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_326.jpg,0.0,0.0,0.0,3.029867
F:\Study Material\IMG\center_2018_05_22_00_57_53_510.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_510.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_510.jpg,0.0,0.0,0.0,2.862506
F:\Study Material\IMG\center_2018_05_22_00_57_53_629.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_629.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_629.jpg,0.0,0.0,0.0,2.752643
F:\Study Material\IMG\center_2018_05_22_00_57_53_795.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_795.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_795.jpg,0.0,0.0,0.0,2.60826
F:\Study Material\IMG\center_2018_05_22_00_57_53_911.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_53_911.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_53_911.jpg,0.0,0.0,0.0,2.495155
F:\Study Material\IMG\center_2018_05_22_00_57_54_012.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_012.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_012.jpg,0.0,0.0,0.0,2.4010830000000003
F:\Study Material\IMG\center_2018_05_22_00_57_54_143.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_143.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_143.jpg,0.0,0.0,0.0,2.289561
F:\Study Material\IMG\center_2018_05_22_00_57_54_244.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_244.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_244.jpg,0.0,0.0,0.0,2.179488
F:\Study Material\IMG\center_2018_05_22_00_57_54_365.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_365.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_365.jpg,0.0,0.0,0.0,2.0708439999999997
F:\Study Material\IMG\center_2018_05_22_00_57_54_478.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_478.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_478.jpg,0.0,0.0,0.0,1.981382
F:\Study Material\IMG\center_2018_05_22_00_57_54_614.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_614.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_614.jpg,0.0,0.0,0.0,1.867105
F:\Study Material\IMG\center_2018_05_22_00_57_54_721.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_721.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_721.jpg,0.0,0.0,0.0,1.787554
F:\Study Material\IMG\center_2018_05_22_00_57_54_915.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_54_915.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_54_915.jpg,0.0,0.0,0.0,1.6408189999999998
F:\Study Material\IMG\center_2018_05_22_00_57_55_018.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_018.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_018.jpg,0.0,0.0,0.0,1.57069
F:\Study Material\IMG\center_2018_05_22_00_57_55_295.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_295.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_295.jpg,0.0,0.0,0.0,1.378266
F:\Study Material\IMG\center_2018_05_22_00_57_55_401.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_401.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_401.jpg,0.0,0.0,0.0,1.310927
F:\Study Material\IMG\center_2018_05_22_00_57_55_552.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_552.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_552.jpg,0.0,0.0,0.0,1.204669
F:\Study Material\IMG\center_2018_05_22_00_57_55_687.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_687.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_687.jpg,0.0,0.0,0.0,1.1131739999999999
F:\Study Material\IMG\center_2018_05_22_00_57_55_788.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_788.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_788.jpg,0.0,0.0,0.0,1.048653
F:\Study Material\IMG\center_2018_05_22_00_57_55_964.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_55_964.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_55_964.jpg,0.0,0.0,0.0,0.9342411
F:\Study Material\IMG\center_2018_05_22_00_57_56_073.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_073.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_073.jpg,0.0,0.0,0.0,0.8716242000000001
F:\Study Material\IMG\center_2018_05_22_00_57_56_289.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_289.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_289.jpg,0.0,0.0,0.0,0.7362024
F:\Study Material\IMG\center_2018_05_22_00_57_56_425.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_425.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_425.jpg,0.0,0.0,0.0,0.643509
F:\Study Material\IMG\center_2018_05_22_00_57_56_525.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_525.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_525.jpg,0.0,0.0,0.0,0.5758707
F:\Study Material\IMG\center_2018_05_22_00_57_56_641.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_641.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_641.jpg,0.0,0.0,0.0,0.508948
F:\Study Material\IMG\center_2018_05_22_00_57_56_821.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_821.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_821.jpg,0.0,0.0,0.0,0.3900794
F:\Study Material\IMG\center_2018_05_22_00_57_56_932.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_56_932.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_56_932.jpg,0.0,0.0,0.0,0.31218270000000004
F:\Study Material\IMG\center_2018_05_22_00_57_57_104.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_104.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_104.jpg,0.0,0.0,0.0,0.1971852
F:\Study Material\IMG\center_2018_05_22_00_57_57_205.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_205.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_205.jpg,0.0,0.0,0.0,0.13424570000000002
F:\Study Material\IMG\center_2018_05_22_00_57_57_353.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_353.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_353.jpg,0.0,0.0,0.0,0.04725396
F:\Study Material\IMG\center_2018_05_22_00_57_57_469.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_469.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_469.jpg,0.0,0.0,0.0,0.02628941
F:\Study Material\IMG\center_2018_05_22_00_57_57_664.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_664.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_664.jpg,0.0,0.0,0.0,0.1349076
F:\Study Material\IMG\center_2018_05_22_00_57_57_827.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_827.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_827.jpg,0.0,0.0,0.0,0.00019022520000000002
F:\Study Material\IMG\center_2018_05_22_00_57_57_936.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_57_936.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_57_936.jpg,0.0,0.0,0.0,0.0003351196
F:\Study Material\IMG\center_2018_05_22_00_57_58_055.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_055.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_055.jpg,0.0,0.0,0.0,0.0002551112
F:\Study Material\IMG\center_2018_05_22_00_57_58_308.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_308.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_308.jpg,0.0,0.0,0.0,0.000100481
F:\Study Material\IMG\center_2018_05_22_00_57_58_454.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_454.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_454.jpg,0.0,0.0,0.0,0.0001240592
F:\Study Material\IMG\center_2018_05_22_00_57_58_561.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_561.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_561.jpg,0.0,0.0,0.0,0.000117929
F:\Study Material\IMG\center_2018_05_22_00_57_58_703.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_703.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_703.jpg,0.0,0.0,0.0,0.0001187682
F:\Study Material\IMG\center_2018_05_22_00_57_58_807.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_807.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_807.jpg,0.0,0.0,0.0,0.00010748370000000001
F:\Study Material\IMG\center_2018_05_22_00_57_58_911.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_58_911.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_58_911.jpg,0.0,0.0,0.0,0.0001053606
F:\Study Material\IMG\center_2018_05_22_00_57_59_013.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_013.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_013.jpg,0.0,0.0,0.0,9.974132e-05
F:\Study Material\IMG\center_2018_05_22_00_57_59_116.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_116.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_116.jpg,0.0,0.0,0.0,0.0001039121
F:\Study Material\IMG\center_2018_05_22_00_57_59_269.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_269.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_269.jpg,0.0,0.0,0.0,9.983674000000001e-05
F:\Study Material\IMG\center_2018_05_22_00_57_59_393.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_393.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_393.jpg,0.0,0.0,0.0,0.00011680049999999999
F:\Study Material\IMG\center_2018_05_22_00_57_59_534.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_534.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_534.jpg,0.0,0.0,0.0,0.0001147462
F:\Study Material\IMG\center_2018_05_22_00_57_59_639.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_639.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_639.jpg,0.0,0.0,0.0,0.00010286010000000001
F:\Study Material\IMG\center_2018_05_22_00_57_59_790.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_790.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_790.jpg,0.0,0.0,0.0,9.955681999999998e-05
F:\Study Material\IMG\center_2018_05_22_00_57_59_897.jpg, F:\Study Material\IMG\left_2018_05_22_00_57_59_897.jpg, F:\Study Material\IMG\right_2018_05_22_00_57_59_897.jpg,0.0,0.0,0.0,9.974582e-05
F:\Study Material\IMG\center_2018_05_22_00_58_00_073.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_073.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_073.jpg,0.0,0.0,0.0,0.0001083577
F:\Study Material\IMG\center_2018_05_22_00_58_00_178.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_178.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_178.jpg,0.0,0.0,0.0,0.0001081359
F:\Study Material\IMG\center_2018_05_22_00_58_00_344.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_344.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_344.jpg,0.0,0.0,0.0,0.0001060921
F:\Study Material\IMG\center_2018_05_22_00_58_00_450.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_450.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_450.jpg,0.0,0.0,0.0,0.0001132952
F:\Study Material\IMG\center_2018_05_22_00_58_00_605.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_605.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_605.jpg,0.0,0.0,0.0,0.0001110672
F:\Study Material\IMG\center_2018_05_22_00_58_00_718.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_718.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_718.jpg,0.0,0.0,0.0,0.0001153091
F:\Study Material\IMG\center_2018_05_22_00_58_00_894.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_00_894.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_00_894.jpg,0.0,0.0,0.0,0.00010583479999999999
F:\Study Material\IMG\center_2018_05_22_00_58_01_003.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_003.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_003.jpg,0.0,0.0,0.0,0.0001070839
F:\Study Material\IMG\center_2018_05_22_00_58_01_163.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_163.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_163.jpg,0.0,0.0,0.0,0.0001064947
F:\Study Material\IMG\center_2018_05_22_00_58_01_290.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_290.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_290.jpg,0.0,0.0,0.0,0.0001158369
F:\Study Material\IMG\center_2018_05_22_00_58_01_448.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_448.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_448.jpg,0.0,0.0,0.0,0.00010052200000000001
F:\Study Material\IMG\center_2018_05_22_00_58_01_552.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_552.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_552.jpg,0.0,0.0,0.0,0.0001096748
F:\Study Material\IMG\center_2018_05_22_00_58_01_684.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_684.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_684.jpg,0.0,0.0,0.0,0.0001387249
F:\Study Material\IMG\center_2018_05_22_00_58_01_789.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_789.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_789.jpg,0.0,0.0,0.0,0.0001675125
F:\Study Material\IMG\center_2018_05_22_00_58_01_912.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_01_912.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_01_912.jpg,0.0,0.0,0.0,0.0001479331
F:\Study Material\IMG\center_2018_05_22_00_58_02_020.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_020.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_020.jpg,0.0,0.0,0.0,0.0001000423
F:\Study Material\IMG\center_2018_05_22_00_58_02_193.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_193.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_193.jpg,0.0,0.0,0.0,0.0001000648
F:\Study Material\IMG\center_2018_05_22_00_58_02_295.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_295.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_295.jpg,0.0,0.0,0.0,0.0001192649
F:\Study Material\IMG\center_2018_05_22_00_58_02_422.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_422.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_422.jpg,0.0,0.0,0.0,0.00011278639999999999
F:\Study Material\IMG\center_2018_05_22_00_58_02_551.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_551.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_551.jpg,0.0,0.0,0.0,0.00010409030000000001
F:\Study Material\IMG\center_2018_05_22_00_58_02_702.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_702.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_702.jpg,0.0,0.0,0.0,0.0001139418
F:\Study Material\IMG\center_2018_05_22_00_58_02_799.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_799.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_799.jpg,0.0,0.0,0.0,0.0001186599
F:\Study Material\IMG\center_2018_05_22_00_58_02_923.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_02_923.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_02_923.jpg,0.0,0.0,0.0,0.0001168166
F:\Study Material\IMG\center_2018_05_22_00_58_03_056.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_056.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_056.jpg,0.0,0.0,0.0,0.0001447698
F:\Study Material\IMG\center_2018_05_22_00_58_03_194.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_194.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_194.jpg,0.0,0.0,0.0,0.0001001209
F:\Study Material\IMG\center_2018_05_22_00_58_03_310.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_310.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_310.jpg,0.0,0.0,0.0,0.0001135294
F:\Study Material\IMG\center_2018_05_22_00_58_03_424.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_424.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_424.jpg,0.0,0.0,0.0,0.0001043631
F:\Study Material\IMG\center_2018_05_22_00_58_03_532.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_532.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_532.jpg,0.0,0.0,0.0,0.0001058983
F:\Study Material\IMG\center_2018_05_22_00_58_03_694.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_694.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_694.jpg,0.0,0.0,0.0,0.00010711729999999999
F:\Study Material\IMG\center_2018_05_22_00_58_03_795.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_795.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_795.jpg,0.0,0.0,0.0,0.0001113561
F:\Study Material\IMG\center_2018_05_22_00_58_03_913.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_03_913.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_03_913.jpg,0.0,0.0,0.0,0.0001051759
F:\Study Material\IMG\center_2018_05_22_00_58_04_069.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_069.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_069.jpg,0.0,0.0,0.0,0.0001392954
F:\Study Material\IMG\center_2018_05_22_00_58_04_174.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_174.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_174.jpg,0.0,0.0,0.0,0.0001343896
F:\Study Material\IMG\center_2018_05_22_00_58_04_333.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_333.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_333.jpg,0.0,0.0,0.0,0.0001384168
F:\Study Material\IMG\center_2018_05_22_00_58_04_455.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_455.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_455.jpg,0.0,0.0,0.0,0.0001112
F:\Study Material\IMG\center_2018_05_22_00_58_04_588.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_588.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_588.jpg,0.0,0.0,0.0,0.0001019732
F:\Study Material\IMG\center_2018_05_22_00_58_04_696.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_696.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_696.jpg,0.0,0.0,0.0,0.000100895
F:\Study Material\IMG\center_2018_05_22_00_58_04_842.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_842.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_842.jpg,0.0,0.0,0.0,9.992928e-05
F:\Study Material\IMG\center_2018_05_22_00_58_04_949.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_04_949.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_04_949.jpg,0.0,0.0,0.0,0.000125231
F:\Study Material\IMG\center_2018_05_22_00_58_05_088.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_088.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_088.jpg,0.0,0.0,0.0,0.0001065748
F:\Study Material\IMG\center_2018_05_22_00_58_05_194.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_194.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_194.jpg,0.0,0.0,0.0,0.00011395379999999999
F:\Study Material\IMG\center_2018_05_22_00_58_05_345.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_345.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_345.jpg,0.0,0.0,0.0,0.0001015118
F:\Study Material\IMG\center_2018_05_22_00_58_05_477.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_477.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_477.jpg,0.0,0.0,0.0,0.000100355
F:\Study Material\IMG\center_2018_05_22_00_58_05_586.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_586.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_586.jpg,0.0,0.0,0.0,0.0001004202
F:\Study Material\IMG\center_2018_05_22_00_58_05_820.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_820.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_820.jpg,0.0,0.0,0.0,0.0001240976
F:\Study Material\IMG\center_2018_05_22_00_58_05_921.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_05_921.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_05_921.jpg,0.0,0.0,0.0,9.930799999999999e-05
F:\Study Material\IMG\center_2018_05_22_00_58_06_031.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_031.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_031.jpg,0.0,0.0,0.0,0.0001003944
F:\Study Material\IMG\center_2018_05_22_00_58_06_205.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_205.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_205.jpg,0.0,0.0,0.0,0.00011024260000000001
F:\Study Material\IMG\center_2018_05_22_00_58_06_308.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_308.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_308.jpg,0.0,0.0,0.0,0.000128335
F:\Study Material\IMG\center_2018_05_22_00_58_06_436.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_436.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_436.jpg,0.0,0.0,0.0,0.00010870620000000001
F:\Study Material\IMG\center_2018_05_22_00_58_06_554.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_554.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_554.jpg,0.0,0.0,0.0,0.0001170274
F:\Study Material\IMG\center_2018_05_22_00_58_06_717.jpg, F:\Study Material\IMG\left_2018_05_22_00_58_06_717.jpg, F:\Study Material\IMG\right_2018_05_22_00_58_06_717.jpg,0.0,0.0,0.0,0.000152477
